docID,title,category,description
1,Cotton Casual Shirt,shirt,"Blue cotton shirt with regular fit and soft fabric"
2,Stretch Denim Jeans,jeans,"Comfortable stretch denim jeans with a slim fit"
3,Classic Polo Tee,tee,"Lightweight cotton polo tee for everyday wear"
4,Formal Office Blazer,blazer,"Tailored blazer with a modern fit and soft lining"
5,Printed Summer Dress,dress,"Flowy summer dress with floral print and cotton blend"
6,Running Athletic Shorts,shorts,"Breathable athletic shorts for running and training"
7,Knitted Winter Sweater,sweater,"Warm knitted sweater with soft cotton inner layer"
8,Leather Casual Boots,boots,"Durable leather boots with cushioned sole and comfort fit"
9,Classic White Sneakers,sneakers,"White sneakers with breathable mesh and cushioned sole"
10,Lightweight Travel Jacket,jacket,"Water resistant travel jacket with zip pockets and hood"
11,Cotton Linen Shirt,shirt,"Relaxed cotton linen shirt with a breathable finish"
12,Denim Cargo Pants,pants,"Stretch denim cargo pants with multiple utility pockets"
13,Basic Crew Neck Tee,tee,"Soft crew neck tee with cotton jersey fabric"
14,Premium Wool Coat,coat,"Premium wool coat with tailored structure and warm lining"
15,Printed Beach Shirt,shirt,"Printed beach shirt with short sleeves and cotton blend"
16,Flared Midi Skirt,skirt,"A-line midi skirt with comfort stretch and cotton finish"
17,Urban Zip Hoodie,hoodie,"Urban zip hoodie with soft fleece and cotton blend"
18,Leather Crossbody Bag,bag,"Compact leather crossbody bag with adjustable strap"
19,Classic Chino Trouser,trouser,"Classic chino trouser with stretch waist and cotton fabric"
20,Striped Casual Tee,tee,"Striped casual tee with soft cotton feel and relaxed fit"
